"effect id","name","description","data1","data2","data3","magic","consumables (battle)","consumables (outside battle)","accessories","quartzes"
"50","cure_psn","Cure poison status","","","","","","","",""
"51","cure_seal","Cure seal status","","","","","","","",""
"52","cure_mute","Cure mute status","","","","","","","",""
"53","cure_blnd","Cure blind status","","","","","","","",""
"54","cure_slp","Cure sleep status","","","","","","","",""
"55","cure_burn","Cure burn status","","","","","","","",""
"56","cure_frz","Cure freeze status","","","","","","","",""
"57","cure_petr","Cure petrify status","","","","","","","",""
"58","cure_fnt","Cure faint status","","","","","","","",""
"59","cure_conf","Cure confuse status","","","","","","","",""
"60","cure_nmr","Cure nightmare status","","","","","","","",""
"61","","","","","","","","","",""
"62","","","","","","","","","",""
"63","","","","","","","","","",""
"64","","","","","","","","","",""
"65","buff_str","STR up","amount","turns","","","","","",""
"66","buff_def","DEF up","amount","turns","","","","","",""
"67","buff_adf","ATS up","amount","turns","","","","","",""
"68","buff_ats","ADF up","amount","turns","","","","","",""
"69","buff_spd","SPD up","amount","turns","","","","","",""
"70","buff_mov","MOV up","amount","turns","","","","","",""
"71","insight_effect","Gain insight status","amount","turns","","","","","",""
"72","","","","","","","","","",""
"73","accelerate","Accelerate target(s), giving them the next turn(s)","","","","","","","",""
"74","","","","","","","","","",""
"75","cure_ailments","Cure ailments","","","","","","","",""
"76","cure_sdwn","Cure stat down","","","","","","","",""
"77","cure_all","Cure ailments and stat down","","","","","","","",""
"78","","","","","","","","","",""
"79","artemis_tears_effects","Artemis' Tears effect, probably heal over max?","","","","","","","",""
"80","","","","","","","","","",""
"81","","","","","","","","","",""
"82","","","","","","","","","",""
"83","","","","","","","","","",""
"84","","","","","","","","","",""
"85","","","","","","","","","",""
"86","","","","","","","","","",""
"87","","","","","","","","","",""
"88","","","","","","","","","",""
"89","","","","","","","","","",""
"90","","","","","","","","","",""
"91","","","","","","","","","",""
"92","","","","","","","","","",""
"93","","","","","","","","","",""
"94","","","","","","","","","",""
"95","","","","","","","","","",""
"96","","","","","","","","","",""
"97","","","","","","","","","",""
"98","","","","","","","","","",""
"99","","","","","","","","","",""
"100","hp_up","HP up by a flat amount","amount","","","","","","",""
"101","ep_up","EP up by a flat amount","amount","","","","","","",""
"102","cp_up","CP up by a flat amount","amount","","","","","","",""
"103","prop_hp_up","HP up (relative to max)","ratio (%)","","","","","","",""
"104","prop_ep_up","EP up (relative to max)","ratio (%)","","","","","","",""
"105","","","","","","","","","",""
"106","revive","Revive with set HP","HP","","","","","","",""
"107","revive_prop","Revive with portion of max HP","HP ratio (%)","","","","","","",""
"108","hp_heal","HP up. Used by Tear etc.","ATS scaling?","","","","","","",""
"109","","","","","","","","","",""
"110","","","","","","","","","",""
"111","","","","","","","","","",""
"112","hp_absorb","Absorb HP, used by Shadow Blade","ATS scaling?","efficiency (%)","","","","","",""
"113","regen_hp","Regenerate HP over time, in proportion to max HP.","HP ratio (%)","turns","","","","","",""
"114","","","","","","","","","",""
"115","regen_cp","Regenerate CP over time","CP","turns","","","","","",""
"116","revive_heal","Revive and heal","ATS scaling?","?","","","","","",""
"117","","","","","","","","","",""
"118","hp_ep_up","HP and EP up by a flat amount","HP","EP","","","","","",""
"119","hp_cp_up","HP and CP up by a flat amount","HP","CP","","","","","",""
"120","ep_cp_up","EP and CP up by a flat amount","EP","CP","","","","","",""
"121","hp_ep_cp_up","HP/EP/CP up by a flat amount","HP","EP","CP","","","","",""
"122","cp_or_near_death","CP up or near death","","","","","","","",""
"123","revive_and_cure_all","Revive and cure ailments/stat down","HP %","","","","","","",""
"124","tea_time_effect","Tea Time effect - probably heal & CP up?","HP %?","CP?","","","","","",""
"125","","","","","","","","","",""
"126","","","","","","","","","",""
"127","","","","","","","","","",""
"128","","","","","","","","","",""
"129","","","","","","","","","",""
"130","","","","","","","","","",""
"131","","","","","","","","","",""
"132","","","","","","","","","",""
"133","","","","","","","","","",""
"134","","","","","","","","","",""
"135","","","","","","","","","",""
"136","","","","","","","","","",""
"137","","","","","","","","","",""
"138","","","","","","","","","",""
"139","","","","","","","","","",""
"140","","","","","","","","","",""
"141","","","","","","","","","",""
"142","","","","","","","","","",""
"143","","","","","","","","","",""
"144","","","","","","","","","",""
"145","","","","","","","","","",""
"146","","","","","","","","","",""
"147","","","","","","","","","",""
"148","","","","","","","","","",""
"149","","","","","","","","","",""
"150","physical_immunity","Physical immunity","hits shielded?","","","","","","",""
"151","magic_reflect","Reflect magic damage","hits reflected?","","","","","","",""
"152","immunity_ailments","Immunity to ailments","","","","","","","",""
"153","immunity_sdown","Immunity to stat-down","","","","","","","",""
"154","","","","","","","","","",""
"155","psn_immunity","Immunity to poison status","","","","","","","",""
"156","seal_immunity","Immunity to seal status","","","","","","","",""
"157","mute_immunity","Immunity to mute status","","","","","","","",""
"158","blnd_immunity","Immunity to blind status","","","","","","","",""
"159","slp_immunity","Immunity to sleep status","","","","","","","",""
"160","burn_immunity","Immunity to burn status","","","","","","","",""
"161","frz_immunity","Immunity to freeze status","","","","","","","",""
"162","petr_immunity","Immunity to petrify status","","","","","","","",""
"163","fnt_immunity","Immunity to faint status","","","","","","","",""
"164","conf_immunity","Immunity to confuse status","","","","","","","",""
"165","dblw_immunity","Immunity to deathblow status","","","","","","","",""
"166","nmr_immunity","Immunity to nightmare status","","","","","","","",""
"167","dly_immunity","Immunity to delay","","","","","","","",""
"168","","","","","","","","","",""
"169","immunity_all","Immunity to ailments and stat-down","","","","","","","",""
"170","physical_reflect","Reflect physical damage","hits reflected?","","","","","","",""
"171","","","","","","","","","",""
"172","","","","","","","","","",""
"173","","","","","","","","","",""
"174","","","","","","","","","",""
"175","","","","","","","","","",""
"176","","","","","","","","","",""
"177","","","","","","","","","",""
"178","","","","","","","","","",""
"179","","","","","","","","","",""
"180","","","","","","","","","",""
"181","","","","","","","","","",""
"182","","","","","","","","","",""
"183","","","","","","","","","",""
"184","","","","","","","","","",""
"185","","","","","","","","","",""
"186","","","","","","","","","",""
"187","","","","","","","","","",""
"188","","","","","","","","","",""
"189","","","","","","","","","",""
"190","defend_effect","Defend effect","","","","","","","",""
"191","morning_moon_effect","Morning Moon effect","","","","","","","",""
"192","","","","","","","","","",""
"193","","","","","","","","","",""
"194","","","","","","","","","",""
"195","","","","","","","","","",""
"196","","","","","","","","","",""
"197","","","","","","","","","",""
"198","","","","","","","","","",""
"199","","","","","","","","","",""
"200","","","","","","","","","",""
"201","reflect","Reflect all?","","","","","","","",""
"202","stealth","Stealth","","","","","","","",""
"203","analyze","Analyze target","","","","","","","",""
"204","unknown_effect_2","Used by Awakener's Call & Retreat","","","","","","","",""
"205","emergency_puppet_effect","On KO revive, item breaks","","","","","","","",""
"206","crit_up","Increase crit chance","chance%","","","","","","",""
"207","increase_drop_chance","Increase chance of items drops in battle","chance%","","","","","","",""
"208","cp_gain_up","CP gain up (gladiator headband)","%","","","","","","",""
"209","cp_up_every_turn","CP up every turn (gladiator belt)","CP","","","","","","",""
"210","proxy_puppet_effect","On KO revive, item breaks","HP %","","","","","","",""
"211","","","","","","","","","",""
"212","","","","","","","","","",""
"213","cast_time_modifier","Cast time modifier","multiplier","divisor","","","","","",""
"214","ep_cost_modifier","EP cost modifier","multiplier","divisor","","","","","",""
"215","","","","","","","","","",""
"216","","","","","","","","","",""
"217","revolution_effect","Damage increased against high-level enemies","damage increase (%)?","max (%)?","","","","","",""
"218","waterfall_effect","Damage inrceased against low-level enemies","damage increase (%)?","max (%)?","","","","","",""
"219","remedy_oratorio_effect","Remedy Oratorio effect. Revive and HP heal (at 200 CP)","HP heal %?","turns?","","","","","",""
"220","sacred_circle_effect","Sacred Circle effect. Physical immunity and magic reflect (at 200 CP)","","","","","","","",""
"221","","","","","","","","","",""
"222","wild_card_effect","Wild Card effect","","","","","","","",""
"223","chrono_burst_effect","User gets double turn","","","","","","","",""
"224","smoke_grenade_effect","Flee from battle","","","","","","","",""
"225","bell_effect","Reduce recovery delay for arts with the same element as the quartz","multiplier","divisor","","","","","",""
"226","sepith_drop_up","Increase amount of sepith dropped by enemies","","","","","","","",""
"227","hare_effect","Increase chance to flee from battle","chance%","","","","","","",""
"228","wrath_effect","Count attacks always crit","","","","","","","",""
"229","dragon_vision_effect","Automatically analyse monster on KO","","","","","","","",""
"230","domination_effect","First attack/craft used in battle deals more damage","bonus %","","","","","","",""
"231","information_effect","Can see data on enemies that have not been analyzed","","","","","","","",""
"232","chaos_effect","Inflicted ailments last longer","turns","","","","","","",""
"233","","","","","","","","","",""
"234","spirit_unification_effect","Spirit Unification","","turns","","","","","",""
"235","","","","","","","","","",""
"236","burning_heart_effect","Burning Heart","","turns","","","","","",""
"237","hades_effect","First art used in battle deals more damage","bonus %","","","","","","",""
"238","magic_eva","Magic evasion","chance %","","","","","","",""
"239","detection_effect","Can see enemies and undiscovered chests on the map","","","","","","","",""
"240","","","","","","","","","",""
"241","nine_lives_effect","On KO, revive at 50% HP once per battle. Item does not break.","","","","","","","",""
"242","mirror_effect","Reverie mirror effect","character id?","","","","","","",""
"243","","","","","","","","","",""
"244","","","","","","","","","",""
"245","","","","","","","","","",""
"246","","","","","","","","","",""
"247","","","","","","","","","",""
"248","heal_effect","HP recovers on field","?","","","","","","",""
"249","ingenuity_effect","EP recovers on field","?","","","","","","",""
"250","invigorate_effect","Recover CP by attacking enemies on the field","?","","","","","","",""
"251","effort_effect","Increase chance to make a superb dish","?","","","","","","",""
"252","prankster_effect","Increase chance to make a peculiar dish","?","","","","","","",""
"253","scent_effect","Enemies are more likely to notice you","","","","","","","",""
"254","intimidation_effect","Enemies are less likely to notice you","","","","","","","",""
"255","","","","","","","","","",""
